years;station;latitude_start;longitude_start;latitude_end;longitude_end;distance_trawled_m;depth;bottom_depth;bottom_proximity;distance_isobath_200m;duration;comments
2019;X0464;44.8893;-2.3988;44.8657;-2.4845;7231;785;2034.5;1249.92;11733.4006139887;60;
2019;X0470;44.6599;-2.1847;44.6812;-2.2729;7389;786;1348.864;562.864;12266.7387078689;61;
2019;X0476;43.7029;-2.1974;43.6343;-2.1887;7726;754;1431.529;677.049;16247.9837028082;60;
2021;Z0492;46.7542;-5.1666;46.7081;-5.2295;7026;370;1661.471;1290.521;8777.48140224164;61;
2021;Z0497;46.1859;-4.4766;46.1394;-4.5152;5971;1335;2458.833;1124.658;18577.463976522;60;
2021;Z0503;45.7966;-3.9153;45.766;-3.9832;6276;715;2217.412;1501.017;14513.7435303977;60;
2021;Z0508;45.1539;-3.4823;45.1626;-3.589;8431;20;3541.185;3516.025;29333.7294360179;63;
2021;Z0512;44.914;-2.4052;44.8736;-2.4635;6431;555;2180.4;1625.32;10402.8931217635;61;
2021;Z0518;44.7219;-2.2826;44.7531;-2.3509;6421;1000;2281.333;1284.128;15739.9208586311;61;
2021;Z0524;44.2333;-2.2824;44.2772;-2.3313;6251;1010;1116.923;109.28305;18657.5941033066;61;
