;Anoplogaster_cornuta;Arctozenus_risso;Argyropelecus_hemigymnus;Argyropelecus_olfersii;Bathylagus_euryops;Benthosema_glaciale;Bolinichthys_supralateralis;Borostomias_antarcticus;Ceratoscopelus_maderensis;Chauliodus_sloani;Cyclothone;Derichthys_serpentinus;Diaphus_metopoclampus;Evermannella_balbo;Gonostoma_elongatum;Holtbyrnia_anomala;Holtbyrnia_macrops;Lampanyctus_crocodilus;Lampanyctus_macdonaldi;Lestidiops_sphyrenoides;Lobianchia_gemellarii;Malacosteus_niger;Maulisia_argipalla;Maulisia_mauli;Maulisia_microlepis;Maurolicus_muelleri;Melanostigma_atlanticum;Melanostomias_bartonbeani;Myctophum_punctatum;Lampanyctus_ater;Normichthys_operosus;Notoscopelus_kroyeri;Paralepis_coregonoides;Photostylus_pycnopterus;Sagamichthys_schnakenbecki;Searsia_koefoedi;Serrivomer_beanii;Sigmops_bathyphilus;Stomias_boa;Xenodermichthys_copei;Notoscopelus_bolini
Upper mesopelagic;0;0.340646739886195;0.00922724131769902;0.438452181104365;0;0.0235803462352935;0;0.00201395691029287;0.250589121470656;0.00339729118800123;0.0111517144827332;0.00269117136188827;0;0.00187006250839019;0;0;0.00569846685013904;0.729728654882341;0;0.0014638098214541;0.0176440709368844;0.00755181708337206;0;0.00089986322079044;0;0.0245967897332169;0.00351679630881177;0.0283929661957971;0.115943037828517;0.00830854948402991;0;0.53745388860435;0.000329468646382604;0;0.00373731909404767;0.0316524198496155;0.0900964942462953;0;0.260624155178866;1.59783402141999;0
Bathypelagic;0.0146979030819833;0.166213683634416;0.00174621026731269;0.15753478251757;0.378777872170704;0.527770191413548;0.00638717161870447;0.069940795644191;0.0920327652595477;0.132584828225446;0.0996001257653839;0.00626659295389837;0.00228785367484745;0.00481379134002773;0.0160261481517401;0.0279893810214733;0.00464497816345801;1.59668228797185;0.304271106172738;0.00243522153164367;0.0724905499423872;0.0688647588129163;0.0257641528423741;0.177918848266429;0.122013922630619;0.0572579566626607;0.0278614150303847;0.0334375846415772;0.182386387509972;0.23059297769253;0.783407202276273;0.397293586141777;0.00538794864963006;0.0090526322537198;0.00596396440394244;0.0756296944603392;0.741539090568879;0.0331487906540875;0.420133076877557;0.398470329219113;0.00740883436009185
Epipelagic;0;0.0224799723511675;0.00030737025650958;0.00829454447176062;0;0.0656368559833266;0;0.000219422970249756;0.0460225052502523;0.000255624767381462;0.00256724875192215;0;0;0;0;0;0;0.0520032439491922;0;0.00477166232445395;0.00296221009837171;0;0;0;0;0.0478487832444408;0.000658268910749268;0.00119291558111349;0.106251618780606;0.000658268910749268;0;0.0474642272389733;0.000438845940499512;0;0;0.0160178768282322;0.0235879693018488;0.000438845940499512;0.0581041366827421;0.0207354706886019;0.036554341735549
Lower mesopelagic;0;0.336843175895683;0.00135043560085007;0.111495236664606;0;0.106475099039718;0.0184348808516059;0.00476147002447411;0.0691739851632356;0.0256367167537848;0.174719958249028;0.0105837974289483;0.000938475718799009;0.0412880374475559;0.032423151864764;0;0.00266189248797151;1.25038475545096;0;0.0149109597656526;0.0100061352549178;0;0.0146515026814243;0.00646972399789082;0;0.345706384552252;0.0149821897752884;0.0204898464622321;0.153591998887528;0.0653516985355389;0;0.256569947584465;0.00240531944694973;0;0.0160635765359578;0.153117674158279;0.195566548572293;0;0.336684807951481;0.967050538004737;0.00759727218086277
