Event;Date.Time;Date.Time.2;Latitude;Longitude;Latitude.2;Longitude.2;depth;Anoplogaster_cornuta;Arctozenus_risso;Argyropelecus_hemigymnus;Argyropelecus_olfersii;Astronesthes_niger;Avocettina_infans;Barbantus_curvifrons;Bathylagichthys_greyae;Bathylagus;Bathylagus_euryops;Benthosema_glaciale;Beryx_splendens;Bolinichthys_indicus;Bolinichthys_supralateralis;Borostomias_antarcticus;Ceratoscopelus_maderensis;Chauliodus_sloani;Cyclothone;Derichthys;Derichthys_serpentinus;Diaphus;Diaphus_dumerilii;Diaphus_metopoclampus;Diaphus_mollis;Dolicholagus_longirostris;Dolichopteryx_longipes;Electrona_risso;Entelurus_aequoreus;Eurypharynx_pelecanoides;Evermannella_balbo;Gadiculus_argenteus;Gonostoma_elongatum;Holtbyrnia_anomala;Holtbyrnia_macrops;Howella_atlantica;Lampadena_atlantica;Lampadena_speculigera;Lampanyctus;Lampanyctus_crocodilus;Lampanyctus_festivus;Lampanyctus_macdonaldi;Leptostomias_gladiator;Lestidiops_affinis;Lestidiops_sphyrenoides;Lobianchia_gemellarii;Lyconus_brachycolus;Macroparalepis_affinis;Magnisudis_atlantica;Malacosteus_niger;Maulisia_argipalla;Maulisia_mauli;Maulisia_microlepis;Maurolicus_muelleri;Melanolagus_bericoides;Melanonus_zugmayeri;Melanostigma_atlanticum;Melanostomias_bartonbeani;Mentodus_rostratus;Myctophidae;Myctophum_punctatum;Nannobrachium;Nannobrachium_atrum;Nansenia;Nansenia_oblita;Neonesthes_capensis;Nessorhamphus_ingolfianus;Normichthys_operosus;Notoscopelus_kroyeri;Oneirodes_anisacanthus;Oneirodes_carlsbergi;Parabrotulidae;Paralepis_coregonoides;Photostomias_guernei;Photostylus_pycnopterus;Platytroctidae;Polymetme_thaeocoryla;Poromitra_megalops;Pseudoscopelus_altipinnis;Pseudoscopelus_astronesthidens;Pseudoscopelus_pierbartus;Rhadinesthes_decimus;Rondeletia_loricata;Rouleina_attrita;Sagamichthys_schnakenbecki;Scopelengys_tristis;Scopelogadus_beanii;Searsia_koefoedi;Serrivomer_beanii;Sigmops_bathyphilus;Sternoptyx_diaphana;Stomias_boa;Taaningichthys_bathyphilus;Xenodermichthys_copei
O0983;2010-10-26T16:27:00;2010-10-26T17:27:00;44,8188;-2,7321;44,8518;-2,8066;600;0;95;4;464;0;0;0;0;0;0;13;0;0;0;8;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;215;0;0;127;0;337
O0995;2010-10-29T18:26:00;2010-10-29T19:26:00;45,9366;-3,9509;45,9474;-4,0329;800;0;124;0;15;0;0;0;0;0;0;53;0;0;0;0;22;0;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;805;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;23;0;0;1;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;0;0;93;0;619
P1048;2011-10-20T16:37:00;2011-10-20T17:16:00;45,9334;-4,2679;45,9135;-4,3166;1000;0;252;0;48;0;0;0;0;0;0;52;0;0;0;8;64;51;43;0;13;0;0;6;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;1087;0;0;0;0;0;146;0;0;0;0;15;0;0;1;0;0;0;27;0;0;394;0;29;5;0;0;0;26;358;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;18;0;0;18;334;0;0;422;18;0
P1053;2011-10-21T17:04:00;2011-10-21T18:04:00;45,629;-3,8989;45,5779;-3,9134;1500;0;164;0;260;0;0;0;0;0;230;740;0;0;0;238;121;0;53;0;0;3;0;0;0;25;NA;0;0;16;5;0;0;15;2;0;0;0;8;881;0;21;0;0;0;62;0;1;0;8;0;0;0;2;0;38;5;0;0;3;91;0;279;7;0;NA;0;1317;217;0;0;NA;11;0;1;0;0;0;0;0;0;1;0;NA;0;0;0;0;260;2;0;302;9;237
P1062;2011-10-23T18:30:00;2011-10-23T19:30:00;44,5523;-2,4022;44,5015;-2,4438;1000;0;204;1;72;0;0;0;0;0;0;240;0;0;0;2;55;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;474;0;0;0;0;0;27;0;11;0;0;0;0;0;2;0;0;6;0;0;20;450;0;6;22;0;0;0;0;226;0;0;0;4;0;0;9;0;0;0;0;0;0;0;0;0;0;0;146;215;4;0;458;0;189
P1067;2011-10-24T00:00:00;2011-10-24T00:00:00;44,643;-3,0686;44,6815;-3,1263;1300;0;200;3;14;0;0;0;0;0;0;596;0;0;0;0;111;280;28;0;0;0;0;3;0;0;0;0;0;24;0;0;0;0;6;0;0;0;0;1015;0;20;0;0;0;9;0;9;0;0;21;1000;0;3;0;0;1;0;0;0;279;0;74;7;0;0;0;300;214;1;0;0;11;0;0;2;0;0;0;0;0;0;0;0;5;1;0;0;208;0;0;609;3;485
P1072;2011-10-25T18:01:00;2011-10-25T19:02:00;43,6705;-2,5335;43,6878;-2,4571;1300;0;142;2;65;0;0;7;0;0;0;1032;0;0;26;102;34;231;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1838;0;84;0;0;0;0;0;0;0;8;0;96;0;10;0;0;12;0;0;0;50;0;393;0;0;0;0;433;175;0;0;0;4;0;2;5;0;NA;0;0;0;0;0;NA;0;0;0;85;1457;2;0;445;0;355
U0508;2016-10-19T16:45:00;2016-10-19T17:37:00;45,8493;-3,8275;45,8152;-3,8796;551,44;0;77;1;3;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;32;0;0;0;0;0;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;734
U0514;2016-10-20T16:43:00;2016-10-20T17:41:00;45,6199;-3,6958;45,5765;-3,7498;735,78;0;221;2;7;0;0;0;0;0;0;50;0;0;0;0;19;0;254;0;13;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;744;0;0;0;0;0;26;0;0;0;0;0;0;0;907;0;0;4;0;0;0;18;0;44;0;0;0;47;0;703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;57;91;0;0;222;0;965
U0519;2016-10-21T16:52:00;2016-10-21T17:52:00;45,16;-3,4236;45,1489;-3,505;861,12;0;314;1;150;0;0;0;0;0;0;78;0;0;0;0;62;0;52;0;47;0;0;0;0;0;0;0;0;0;10;0;0;0;0;16;0;0;0;619;0;0;0;0;0;0;0;0;0;0;0;8;0;3;0;0;1;39;0;0;101;0;124;0;0;0;0;0;107;0;0;0;0;0;0;10;0;0;0;0;85;0;0;0;0;0;0;44;212;0;0;222;3;362
U0524;2016-10-22T16:47:00;2016-10-22T17:43:00;44,7327;-2,2924;44,7328;-2,365;833,4;0;242;0;36;0;0;0;0;0;0;77;0;0;0;0;25;0;35;0;13;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0;655;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;7;0;0;0;49;0;14;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;48;0;0;206;0;441
U0530;2016-10-23T16:53:00;2016-10-23T17:52:00;43,6477;-2,116;43,6504;-2,1907;734,59;0;273;2;8;0;0;0;0;0;0;326;0;0;130;0;6;0;164;0;0;0;0;1;0;0;0;0;0;0;0;0;89;0;0;16;0;0;0;788;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;30;0;0;0;52;0;51;0;0;0;0;0;22;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;24;0;0;240;93;0;0;236;0;811
U0536;2016-10-24T16:50:00;2016-10-24T17:51:00;44,5068;-2,1863;44,5613;-2,2202;592,82;0;424;1;57;0;0;0;0;0;0;19;0;0;0;0;35;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;0;0;0;0;9;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;78;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;45;0;958
U0541;2016-10-25T16:35:00;2016-10-25T17:19:00;44,7341;-2,2573;44,7328;-2,3118;808,65;0;179;1;78;0;0;0;0;0;0;51;0;0;0;2;15;0;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;850;0;0;0;0;0;0;0;0;0;0;0;0;0;1290;0;0;16;42;0;0;206;0;40;0;0;0;0;0;120;0;0;0;0;0;0;5;0;0;47;0;0;0;0;0;6;0;0;108;0;0;0;325;0;417
V0494;2017-10-29T16:27:00;2017-10-29T17:30:00;45,1321;-3,4695;45,1033;-3,5431;746,17;0;158;2;102;0;0;0;0;0;0;3;0;0;15;7;35;144;238;48;15;0;0;0;0;25;0;0;0;0;360;0;46;0;14;0;150;0;0;920;0;0;0;0;0;46;0;0;0;0;128;0;0;1;0;0;1;54;0;0;80;0;134;23;0;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;140;640;0;0;314;0;780
W0534;2018-10-21T18:55:00;2018-10-21T19:56:00;46,2636;-4,4126;46,2141;-4,4293;750;0;446;0;72;0;0;0;0;0;0;14;0;0;0;0;25;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;730;0;0;0;0;92;0;0;0;0;0;0;44;0;3;0;0;7;0;0;0;71;0;0;0;0;0;0;0;136;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;6;0;0;23;61;0;0;205;0;582
W0545;2018-10-23T16:33:00;2018-10-23T17:34:00;45,1745;-3,3864;45,131;-3,4474;846,66;0;207;0;57;0;0;0;0;0;0;6;167;0;0;31;47;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;472;0;0;0;0;5;0;0;0;83;0;0;0;0;0;0;0;7;0;0;0;99;0;27;0;0;0;0;0;13;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6;0;0;40;0;0;0;0;0;565
W0551;2018-10-24T18:00:00;2018-10-24T19:00:00;44,805;-2,7706;44,7907;-2,8462;2000;0;75;2;194;0;0;0;0;65;1168;41;0;0;0;5;23;0;16;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;0;0;0;495;0;787;0;0;0;0;0;0;0;0;0;0;671;1;0;0;0;65;0;0;40;0;36;0;0;0;0;428;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;125;155;0;207;0;84
W0562;2018-10-26T17:51:00;2018-10-26T18:53:00;43,6455;-2,1768;43,6607;-2,2635;685,17;0;157;2;2;43;54;0;0;0;0;39;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;888;0;0;200;0;0;0;0;0;0;0;0;9;0;2;0;0;6;0;0;0;10;6;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;260;121;0;0;54;0;566
W0568;2018-10-27T18:32:00;2018-10-27T19:33:00;44,3321;-2,3215;44,3486;-2,4118;513,24;0;215;10;265;0;0;0;0;0;0;7;0;0;0;0;44;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;717;0;0;0;0;0;0;0;0;0;78;0;0;0;1;0;0;0;0;0;0;68;0;0;0;0;0;57;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;155;0;0;324;0;764
X0447;2019-10-23T18:14:00;2019-10-23T19:14:00;46,2446;-4,4601;46,1793;-4,4579;683,1;0;49;0;176;0;0;0;0;0;0;2;0;0;0;4;46;0;5;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;453;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;98;0;0;33;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;210;0;589
X0453;2019-10-24T17:26:00;2019-10-24T18:26:00;45,8346;-3,8477;45,7998;-3,9131;669,92;0;26;0;87;0;0;0;0;0;0;8;0;0;0;7;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;729;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;24;0;0;0;13;0;0;0;5;0;0;0;10;0;0;0;1;0;0;0;0;0;0;60;0;0;0;0;0;0;0;30;14;0;0;87;0;1057
X0458;2019-10-25T17:02:00;2019-10-25T18:02:00;45,1768;-3,3584;45,1427;-3,4266;756,46;0;98;0;90;0;0;0;0;0;0;25;0;0;0;0;13;32;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;402;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;38;1;0;0;0;192;0;71;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;79;0;414
X0464;2019-10-26T17:19:00;2019-10-26T18:19:00;44,8893;-2,3988;44,8657;-2,4845;784,58;0;17;0;58;0;0;0;0;0;0;22;0;0;0;4;12;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;4;0;0;0;0;552;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;39;0;32;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;39;0;0;30;0;478
X0470;2019-10-27T17:17:00;2019-10-27T18:18:00;44,6599;-2,1847;44,6812;-2,2729;786;0;35;0;75;0;0;0;0;0;0;23;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;407;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;9;0;0;0;107;0;13;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;0;542
X0476;2019-10-28T17:50:00;2019-10-28T18:50:00;43,7029;-2,1974;43,6343;-2,1887;754,48;0;88;0;33;0;0;0;0;0;0;51;0;0;14;0;5;21;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543;0;0;0;0;0;0;0;8;0;0;0;0;0;51;0;0;16;0;0;0;58;0;7;0;0;0;0;0;34;0;0;0;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;308;287;0;0;141;0;613
