Code_Station;Aphanopus carbo;Anoplogaster cornuta;Arctozenus risso;Argyropelecus hemigymnus;Argyropelecus olfersii;Astronesthes niger;Avocettina infans;Barbantus curvifrons;Bathylagichthys greyae;Bathylagus euryops;Bathylagus;Benthosema glaciale;Beryx splendens;Bolinichthys indicus;Bolinichthys supralateralis;Borostomias antarcticus;Ceratoscopelus maderensis;Chauliodus sloani;Cyclothone;Derichthys;Derichthys serpentinus;Diaphus;Diaphus dumerilii;Diaphus metopoclampus;Diaphus mollis;Dolicholagus longirostris;Dolichopteryx longipes;Electrona risso;Entelurus aequoreus;Eurypharynx pelecanoides;Evermannella balbo;Gadiculus argenteus;Gonostoma elongatum;Holtbyrnia anomala;Holtbyrnia macrops;Howella atlantica;Lampadena atlantica;Lampadena speculigera;Lampadena urophaos;Lampanyctus;Lampanyctus crocodilus;Lampanyctus festivus;Lampanyctus macdonaldi;Leptostomias gladiator;Lestidiops affinis;Lestidiops sphyrenoides;Lobianchia gemellarii;Lyconus brachycolus;Macroparalepis affinis;Magnisudis atlantica;Malacosteus niger;Maulisia argipalla;Maulisia mauli;Maulisia microlepis;Maurolicus muelleri;Melanolagus bericoides;Melanonus zugmayeri;Melanostigma atlanticum;Melanostomias bartonbeani;Mentodus rostratus;Myctophidae;Myctophum punctatum;Nannobrachium;Nannobrachium atrum;Nansenia;Nansenia oblita;Neonesthes capensis;Nessorhamphus ingolfianus;Normichthys operosus;Notoscopelus kroyeri;Oneirodes anisacanthus;Oneirodes carlsbergi;Parabrotulidae;Paralepis coregonoides;Photostomias guernei;Photostylus pycnopterus;Platytroctidae;Polymetme thaeocoryla;Poromitra megalops;Pseudoscopelus astronesthidens;Pseudoscopelus altipinnis;Pseudoscopelus pierbartus;Rhadinesthes decimus;Rondeletia loricata;Rouleina attrita;Sagamichthys schnakenbecki;Scopelengys tristis;Scopelogadus beanii;Searsia koefoedi;Serrivomer beanii;Sigmops bathyphilus;Sternoptyx diaphana;Stomias boa boa;Taaningichthys bathyphilus;Xenodermichthys copei
H0431;0;0;41;19;21;0;0;0;0;0;0;5;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;4;0;45
H0467;0;0;0;0;11;0;0;0;0;0;0;40;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
H0472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
L0731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L0736;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L0742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
L0747;2;1;14;0;22;0;0;1;6;47;0;233;0;0;0;3;123;2;27;0;0;0;0;0;0;0;0;0;0;11;0;0;0;10;0;0;0;0;0;0;78;0;22;0;0;0;4;0;0;0;4;1;3;1;0;1;0;1;0;0;0;11;0;48;0;0;0;0;110;27;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;2;3;14;30;0;14;0;34
L0752;0;0;1;0;24;0;0;0;1;0;0;9;0;0;0;0;605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;90
L0761;0;0;32;1;8;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;4;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;104
L0766;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
M0855;0;0;46;3;28;0;0;0;0;0;0;4;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;0;80
M0862;0;0;11;2;7;0;0;0;0;0;0;25;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;80
M0876;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;197;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
M0881;0;0;49;0;40;0;0;0;0;0;0;3;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;100
M0887;0;0;1;1;1;0;0;0;0;0;0;16;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;4
M0892;0;0;36;1;2;0;0;0;0;0;0;1;0;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;62
O0959;0;0;16;5;1;0;0;0;0;0;0;50;0;2;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;2;0;1;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13
O0964;0;0;37;4;15;0;0;0;0;0;0;101;0;0;0;0;116;0;70;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;129;0;0;0;0;0;2;0;1;0;0;0;0;0;25;0;0;6;0;0;50;21;0;0;0;0;0;0;0;12;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;19;0;16
O0969;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;11;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
O0978;0;0;20;8;12;0;0;0;0;35;0;612;0;0;0;11;32;0;160;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;45;0;9;0;0;0;1;0;0;0;2;0;1;1;6;0;0;1;0;0;0;25;0;10;1;0;0;0;11;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;9;10;0;11;1;5
O0983;0;0;26;6;47;0;0;0;0;0;0;16;0;0;0;1;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;7;0;47
O0995;1;0;24;0;3;0;0;0;0;0;0;63;0;0;0;0;8;0;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;23;0;0;3;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;0;64
P1048;1;0;69;0;7;0;0;0;0;0;0;54;0;0;0;2;21;1;52;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;138;0;0;0;0;0;14;0;0;0;0;3;0;0;3;0;0;0;1;0;0;88;0;4;1;0;0;0;2;49;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;13;0;0;15;3;0
P1053;0;0;38;1;9;0;0;0;0;7;0;822;0;0;0;5;34;0;147;0;0;1;0;0;0;1;1;0;0;2;1;0;0;1;2;0;0;0;0;1;81;0;1;0;0;0;7;0;1;0;1;0;0;0;4;0;1;5;0;0;16;22;0;26;1;0;1;0;76;19;0;0;2;4;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;9;2;0;15;3;20
P1062;0;0;67;1;10;0;0;0;0;0;0;277;0;0;0;1;14;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;3;0;3;0;0;0;0;0;22;0;0;6;0;0;24;98;0;1;3;0;0;0;0;33;0;0;0;3;0;0;12;0;0;0;0;0;0;0;0;0;0;0;6;11;2;0;23;0;21
P1067;4;0;48;2;2;0;0;0;0;0;0;552;0;0;0;0;36;3;56;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;136;0;1;0;0;0;1;0;8;0;0;1;1;0;8;0;0;1;0;0;0;67;0;10;1;0;0;0;37;50;1;0;0;3;0;0;4;0;0;0;0;0;0;0;0;1;1;0;0;7;0;0;29;1;52
P1072;4;0;37;2;7;0;0;1;0;0;0;1106;0;0;2;1;8;4;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;163;0;4;0;0;0;0;0;0;0;1;0;4;0;28;0;0;5;0;0;0;14;0;38;0;0;0;0;55;24;0;0;0;4;0;1;5;0;1;0;0;0;0;0;1;0;0;0;3;29;2;0;19;0;37
